City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Portland,US,2020-12-29 23:56:13,45.52,-122.68,41.0,80,90,3.36
183,Baturaja,ID,2020-12-30 00:01:06,-4.13,104.17,74.25,90,99,2.1
184,Fare,PF,2020-12-30 00:01:06,-16.7,-151.02,81.73,76,93,14.29
185,Dingle,PH,2020-12-30 00:01:07,11.0,122.67,79.25,88,73,7.11
186,Pathalgaon,IN,2020-12-30 00:01:07,22.57,83.47,55.17,68,10,3.47
187,Strezhevoy,RU,2020-12-30 00:01:07,60.73,77.59,-9.4,76,99,6.71
188,Whitley Bay,GB,2020-12-30 00:00:56,55.04,-1.45,34.0,79,94,6.93
189,Chickasha,US,2020-12-30 00:01:08,35.05,-97.94,55.4,93,90,14.99
190,Goure,NE,2020-12-30 00:01:08,13.98,10.27,69.01,19,0,5.99
191,Benguela,AO,2020-12-30 00:01:09,-12.58,13.41,77.99,77,100,6.64
192,Nan,TH,2020-12-30 00:01:09,18.83,100.67,55.4,100,0,1.12
193,Vila Velha,BR,2020-12-29 23:59:51,-20.33,-40.29,77.0,83,40,12.75
194,Antofagasta,CL,2020-12-30 00:01:09,-23.65,-70.4,69.8,73,20,9.17
195,Lazeshchyna,UA,2020-12-30 00:01:10,48.27,24.42,34.07,87,0,4.5
196,Provideniya,RU,2020-12-30 00:01:10,64.38,-173.3,26.6,86,75,17.9
197,Cumaru,BR,2020-12-30 00:01:10,-8.01,-35.7,71.4,80,98,10.47
198,Kawalu,ID,2020-12-30 00:01:10,-7.38,108.21,74.08,89,100,0.78
199,Urucurituba,BR,2020-12-30 00:01:11,-2.68,-57.67,73.15,97,98,2.75
200,Souillac,MU,2020-12-30 00:01:11,-20.52,57.52,77.0,78,40,11.41
201,Riberalta,BO,2020-12-30 00:01:12,-10.98,-66.1,78.8,83,75,11.41
202,Brightwater,NZ,2020-12-30 00:01:12,-41.38,173.12,73.99,65,29,3.0
203,San Estanislao,CO,2020-12-30 00:01:12,10.4,-75.15,82.4,74,40,8.05
204,Shimoda,JP,2020-12-30 00:01:13,34.67,138.95,59.0,93,75,3.36
205,Wellington,NZ,2020-12-29 23:56:31,-41.29,174.78,66.0,72,57,13.87
206,Bonfim,BR,2020-12-30 00:01:13,3.08,-59.95,78.71,78,81,5.7
207,Rock Sound,BS,2020-12-30 00:01:13,24.9,-76.2,73.83,72,27,27.31
208,Pacific Grove,US,2020-12-30 00:01:14,36.62,-121.92,60.01,47,1,5.82
209,Bilma,NE,2020-12-30 00:01:14,18.69,12.92,60.04,30,0,5.14
210,Maragogi,BR,2020-12-30 00:01:14,-9.01,-35.22,76.46,76,64,7.94
211,Aklavik,CA,2020-12-30 00:01:15,68.22,-135.01,-5.8,83,90,5.82
212,Norman Wells,CA,2020-12-30 00:01:15,65.28,-126.83,-7.6,83,75,5.82
213,Ullapool,GB,2020-12-30 00:01:15,57.9,-5.16,32.0,43,87,1.01
214,Gebre Guracha,ET,2020-12-30 00:01:16,9.8,38.4,51.87,63,0,3.02
215,Kunyang,CN,2020-12-30 00:01:16,27.67,120.57,37.53,75,46,12.84
216,Urumqi,CN,2020-12-29 23:58:08,43.8,87.6,-0.4,84,15,4.47
217,Turukhansk,RU,2020-12-30 00:01:16,65.82,87.98,-18.81,79,76,11.99
218,Berlevag,NO,2020-12-30 00:01:16,70.86,29.09,31.35,95,97,15.97
219,Half Moon Bay,US,2020-12-30 00:01:17,37.46,-122.43,60.8,62,1,11.41
220,Finnsnes,NO,2020-12-30 00:01:17,69.23,17.98,30.2,68,41,19.46
221,Olafsvik,IS,2020-12-30 00:01:17,64.89,-23.71,34.09,88,85,6.15
222,Venice,US,2020-12-30 00:01:18,27.1,-82.45,69.01,56,1,8.05
223,Rumia,PL,2020-12-29 23:59:19,54.57,18.39,39.99,86,90,11.41
224,Mount Gambier,AU,2020-12-30 00:01:18,-37.83,140.77,62.6,72,90,9.17
225,Kirakira,SB,2020-12-30 00:01:19,-10.45,161.92,84.06,73,64,12.62
226,Tambovka,RU,2020-12-30 00:01:19,50.1,128.05,-14.8,68,0,2.24
227,Rodrigues Alves,BR,2020-12-30 00:01:20,-7.74,-72.65,82.4,74,20,2.24
228,Kruisfontein,ZA,2020-12-30 00:01:20,-34.0,24.73,58.77,93,51,4.79
229,Buchanan,LR,2020-12-30 00:01:20,5.88,-10.05,77.0,100,40,4.7
230,Singaraja,ID,2020-12-29 23:57:37,-8.11,115.09,82.13,73,85,4.34
231,Airai,TL,2020-12-30 00:01:21,-8.93,125.41,64.0,98,100,0.2
232,Merrill,US,2020-12-30 00:01:21,45.18,-89.68,19.4,78,90,8.05
233,La Palma,US,2020-12-30 00:01:21,33.85,-118.05,64.99,34,1,3.36
234,Trinidad,BO,2020-12-30 00:01:22,-14.83,-64.9,80.6,83,40,3.36
235,Berdigestyakh,RU,2020-12-30 00:01:22,62.1,126.7,-14.66,89,100,5.5
236,Tumut,AU,2020-12-30 00:01:23,-35.3,148.22,79.66,40,2,5.64
237,Bibiani,GH,2020-12-30 00:01:23,6.46,-2.32,69.58,52,17,1.99
238,Yakeshi,CN,2020-12-30 00:01:23,49.28,120.73,-16.98,87,100,6.53
239,Saint-Louis,SN,2020-12-30 00:01:24,16.33,-15.0,80.6,39,0,2.24
240,Baiyin,CN,2020-12-30 00:01:24,36.56,104.21,12.0,70,0,2.24
241,Beloha,MG,2020-12-30 00:01:24,-25.17,45.05,78.85,67,17,10.89
242,Zhangye,CN,2020-12-30 00:01:24,38.93,100.45,3.33,84,0,2.01
243,Ugoofaaru,MV,2020-12-30 00:01:25,5.67,73.0,82.04,74,100,9.69
244,Kuusamo,FI,2020-12-30 00:01:25,65.97,29.18,21.2,92,90,10.29
245,Sioux Lookout,CA,2020-12-30 00:01:25,50.1,-91.92,15.8,78,90,10.29
246,Progreso,MX,2020-12-30 00:01:25,21.28,-89.67,80.6,47,20,9.17
247,Araceli,PH,2020-12-30 00:01:26,10.55,119.99,82.6,81,78,9.17
248,Gunjur,GM,2020-12-30 00:01:26,13.2,-16.73,73.4,78,0,9.17
249,Vaitape,PF,2020-12-30 00:01:26,-16.52,-151.75,81.59,77,84,15.39
250,Batagay-Alyta,RU,2020-12-30 00:01:26,67.8,130.41,-16.6,80,94,5.17
251,Ipixuna,BR,2020-12-30 00:01:27,-1.76,-48.8,77.0,88,0,4.7
252,Bethanien,NA,2020-12-30 00:01:27,-26.5,17.16,68.31,25,94,2.82
